gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
SLC16A3,Interaction,1.522,0.4965,-1.0254,0.661044,0.154668,0.041108,TRUE
BDH1,Interaction,1.5188,-0.8494,0.6694,0.151294,0.352187,0.009692,TRUE
HDLBP,Interaction,1.5098,0.6663,-0.8435,0.220849,0.060301,0.001262,TRUE
COL3A1,Interaction,1.506,1.0401,-0.4659,0.16686,0.680638,0.046288,TRUE
PHGDH,Interaction,1.5044,0.6425,-0.862,0.489137,0.269399,0.042476,TRUE
MRPS21,Interaction,1.4946,-0.8432,0.6515,0.102274,0.524829,0.028768,TRUE
SSPN,Interaction,1.4938,-0.7029,0.7908,0.252178,0.169398,0.005942,TRUE
NT5E,Interaction,1.4756,0.5375,-0.9381,0.449194,0.086225,0.007488,TRUE
ACTB,Interaction,1.4653,0.7997,-0.6656,0.306329,0.477919,0.048898,FALSE
S100A4,Interaction,1.4629,0.4681,-0.9948,0.647133,0.087557,0.020729,FALSE
CNN1,Interaction,1.459,-0.5172,0.9418,0.553375,0.098659,0.015824,TRUE
ARPC1B,Interaction,1.4349,0.7167,-0.7182,0.162753,0.205238,0.004018,TRUE
MRPS17,Interaction,1.4278,-1.0044,0.4234,0.050112,0.690144,0.016201,TRUE
MTIF2,Interaction,1.4273,-0.315,1.1123,0.758601,0.145598,0.048853,TRUE
PTBP1,Interaction,1.4244,0.8197,-0.6047,0.151904,0.443294,0.016431,TRUE
SNX9,Interaction,1.422,0.3668,-1.0553,0.735036,0.090291,0.027059,TRUE
AP3B1,Interaction,1.4144,0.6022,-0.8122,0.493331,0.283931,0.048091,TRUE
PALLD,Interaction,1.4088,-0.715,0.6938,0.339062,0.24856,0.020898,TRUE
PRDX2,Interaction,1.4002,0.4379,-0.9624,0.7176,0.140086,0.047544,FALSE
LUM,Interaction,1.3989,0.8098,-0.5892,0.259497,0.540605,0.049814,FALSE
CNBP,Interaction,1.3963,-0.5462,0.8501,0.447107,0.0882,0.008129,TRUE
DHRS11,Interaction,1.3919,-0.6492,0.7426,0.089683,0.25444,0.005628,TRUE
STAT1,Interaction,1.3913,0.5048,-0.8865,0.407232,0.129168,0.010304,TRUE
TFRC,Interaction,1.3907,-0.7969,0.5938,0.071601,0.325423,0.003331,TRUE
ATP5F1E,Interaction,1.3723,-0.5579,0.8144,0.428867,0.124462,0.01101,TRUE
SIRT3,Interaction,1.3703,-0.7272,0.643,0.177549,0.300333,0.009043,TRUE
RPL36,Interaction,1.3641,0.5442,-0.8199,0.37745,0.091704,0.005667,TRUE
ADSS2,Interaction,1.3591,-0.5012,0.8578,0.484871,0.082754,0.008564,FALSE
