"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"P12882","P12882","MYH1_HUMAN","MYH1","Myosin-1","ENSG00000109061",24.215674953528,28.6970235547723,25.1098033771989,23.9138551818609,22.885358988702,24.711416174499,25.4850655260587,26.7809867798008,25.9118643063197,25.3173414651008,26.9079167483807,28.041203929486,24.7582576594758,26.6573935698535,25.5254790292519,25.9374575590167,27.5515039085046,25.8487462339617,24.2549240441512,24.5763364432055,24.3683975247845,24.0908076752479,24.4370403689237,25.0428792501605,24.6742362247733,25.210970454518,25.3833438057192,25.1662372485251,25.1401089252678,24.0077000550662,24.3347419409889,25.8241390604114,27.0341447077216,25.3004272081633,25.2196072481851
"P08237","P08237","PFKAM_HUMAN","PFKM","ATP-dependent 6-phosphofructokinase, muscle type","ENSG00000152556",25.6609163226679,25.9319542595483,25.7262177869336,25.9837261739378,25.7849344416775,26.3033536249359,26.196762452037,26.0717080570757,25.3667293105489,26.1094689183145,25.9576253003581,26.3296826045464,26.267756143607,26.0984523798694,26.4518281909069,26.2560403183565,26.1800919472279,26.0591459880714,25.9634664760822,26.0043621219921,25.9489851641045,26.0046721865575,25.4116664248517,25.9238036375834,25.1863115686576,26.2934341999729,26.0585507909988,26.2494600687995,26.2370056338663,25.8805528132198,26.068134831787,26.2720549595945,26.7273432060163,25.8298967485915,25.9697879511493
"P23297","P23297","S10A1_HUMAN","S100A1","Protein S100-A1","ENSG00000160678",26.458143011462,25.3118976818002,25.56985797253,25.8297544699587,27.333357504516,25.3421050053565,25.327467488425,25.4812497117335,23.5094200830481,26.2915401408273,25.3373549512395,26.6377790336837,28.5994556408372,25.7547402568168,24.8069413798884,26.3793256349584,26.4944591494668,25.3165118871484,24.5794421440043,25.469317702698,25.7486272867552,25.768097099051,25.7629783635343,25.0257720134495,24.6665961179954,25.4473332635511,25.2784214062996,24.6057704675425,25.7112667108089,25.2786323013018,25.4063706093139,25.9466306636913,26.1163910796735,26.1732996760994,24.9968438907745
"O14558","O14558","HSPB6_HUMAN","HSPB6","Heat shock protein beta-6","ENSG00000004776",25.91470157455,26.2938414067558,26.1673456528908,25.5262057293281,25.3237079061915,25.6537791210834,26.1288732644977,25.8884570382335,25.5629888949526,26.0390132158073,25.5229541109865,26.1997693134473,26.4031479131252,25.1258048145623,25.7222974183919,25.9662889572781,25.8580255112511,25.2290493084947,25.7657499729882,25.1799144274801,25.9277377217751,26.3609675783318,26.4019011524755,26.0174595870972,25.452513129072,26.4581524158522,26.2918013025098,26.2126500545148,25.7756377076201,26.4438108813577,26.1282058245984,25.8621684975736,25.4234104656484,26.0463481749919,25.3136122044324
"P68104","P68104","EF1A1_HUMAN","EEF1A1","Elongation factor 1-alpha 1","ENSG00000156508",25.7527385653926,26.0717084807356,25.7688765816797,25.4522653798591,25.7211934959021,26.0041168286846,26.04996315866,26.1195758748931,26.6434696939895,25.8645655492382,26.0900801090319,25.9683633191105,26.3763110779677,26.4130656918282,26.1527433397308,26.1278697865739,26.2580769537177,26.1776331170982,26.6422164103417,25.6384732477065,26.0109758960156,25.471319438478,25.3368447168132,25.7996794274574,25.9511230604218,25.7634035384442,25.5195910684398,25.800551318159,25.258283903945,25.3537698989989,25.4977742176999,25.604193002428,25.7911627682591,25.8135386421219,25.3388258093159
"O00757","O00757","F16P2_HUMAN","FBP2","Fructose-1,6-bisphosphatase isozyme 2","ENSG00000130957",25.2600520917331,25.0525432508943,25.860890133063,26.4364688290532,26.224793022128,26.5708719747458,25.6875507022354,25.8814821062745,25.5274991970164,25.2244935262722,25.4544329634344,26.4314796039036,26.5209011508277,25.9538391496155,26.5349596817146,26.02435991111,26.1164534349829,26.0451982066339,26.2245201056557,25.7055224020675,25.3943489910712,26.0194811992148,25.7381691909168,25.1601039288527,24.8924382114171,25.5308916013026,25.5313980354376,24.7090294199735,25.6488416642008,25.3185184990731,24.9390909679936,26.6726149652821,26.6843491800322,25.6753732601565,24.7328766136345
"P18085","P18085","ARF4_HUMAN","ARF4","ADP-ribosylation factor 4","ENSG00000168374",25.7095876616014,25.7269162729052,25.8891093116655,25.8257029576831,25.4933824895803,25.9078500363317,25.5725902936393,25.925534728554,27.0853030690675,25.5919261472167,26.0313086800692,26.3387960838846,26.1961451676902,26.2096052465471,26.080467622487,25.7708938015431,26.3430830140009,25.5404384268273,26.923107991744,24.8850683775067,25.7765330457864,25.8724591926964,25.6106259412164,25.067504532358,24.9082125923024,25.4379212240182,25.4630564717286,24.811556712871,26.5757366516766,26.0986625808351,26.2786198461422,25.948289595339,25.7352385557438,25.8963173220751,25.2546367580315
"P12235","P12235","ADT1_HUMAN","SLC25A4","ADP/ATP translocase 1","ENSG00000151729",25.8858219977287,25.8524313647571,25.8698954270441,26.4917503120542,27.1007982062361,25.5779372208064,25.0100132273529,25.6712636824279,24.6289266143885,25.6172378079233,25.5413958278498,25.6080771220441,26.0797891748176,25.5943628142264,25.5867878926109,25.42957512041,25.7731592913342,26.04522528808,25.1736093017732,25.9021657418331,25.6348002602049,26.4993750732384,26.3325477870474,25.801187274278,26.1662496859655,25.1146383207754,25.5650078360961,26.5987981557541,25.8844402797171,26.0080650269407,25.5974170121621,25.5891496387962,25.5430846873846,25.3511726585697,26.2011914636582
"P02585","P02585","TNNC2_HUMAN","TNNC2","Troponin C, skeletal muscle","ENSG00000101470",24.4694724737305,28.5204251201355,24.9083752941114,23.9876043584572,23.6161831107877,25.5170906536575,25.4809614654393,26.4059651391663,25.4173114306883,25.4086469403296,26.2976776451087,26.5943961138561,24.6026374405729,26.2362569520611,25.6481272210571,26.1137074430723,27.9187704998024,25.3489484696908,25.6418391822879,25.7546290486619,25.0957602445201,24.6583324402281,24.4948330836392,25.2872101909897,25.6365158591469,25.3891388608454,25.6665631647658,24.5627018985262,24.3302653337458,24.4023140429901,24.3354786175155,23.9908848089424,25.317110166728,24.7346874987592,25.0522338765573
"P36871","P36871","PGM1_HUMAN","PGM1","Phosphoglucomutase-1","ENSG00000079739",25.9973414651274,25.7358195404483,25.5921783404074,25.9855546689286,25.6776739989415,26.1829749029885,26.0110559089063,25.5808714686132,25.8958460100656,26.1741131078025,25.8921870275987,25.7402928350444,25.5771804541256,25.7031537599647,25.9306233080993,25.8929744176007,25.7835433336308,25.8416582610993,26.0587214909299,25.9289089433801,26.0196450972509,25.347003670252,25.2576942443263,26.0150106365828,25.6608407198432,26.0788751292532,25.8007210990824,25.4980488534594,25.9809005662761,25.3907396057359,25.7045704639964,26.1050762719761,26.0857992836076,25.7559213357823,25.7334797766083
"P62258","P62258","1433E_HUMAN","YWHAE","14-3-3 protein epsilon","ENSG00000108953",25.6359069438751,25.5657969233034,25.4605970171867,25.2138919282372,25.4654366470667,25.7927865837401,25.7090429794104,25.8264610352994,26.5178703440087,25.6934335467382,25.4867974719792,25.7495127498585,25.2763225645427,25.7483095850938,25.7319186951345,25.9446127713895,25.779909836084,25.6356874158382,26.0441458146137,25.7932339847576,25.5620635883396,25.4118659250821,25.463447055103,25.2967217967355,26.1503184258092,25.9007925564504,25.5243863373606,25.1712963834491,25.5125621977454,25.8877652588061,25.7233944293525,25.4407786361258,25.7477789394896,25.5918115250627,25.3551694114365
"P17174","P17174","AATC_HUMAN","GOT1","Aspartate aminotransferase, cytoplasmic","ENSG00000120053",25.7473439780302,25.5461442525955,25.3427520649737,26.5590696075858,26.5448854364478,25.8598759154656,25.4390346920093,25.0390145406608,24.911844296434,25.7286506973839,25.3518709084474,25.6013526737466,25.7654851609364,25.5271621750458,25.5440498270571,25.2983693013483,25.3254014424852,25.5755021570945,25.494537899478,25.8481110174526,25.8236333676115,26.1132182444923,26.3750280044066,25.5971155679588,25.6962057109033,25.3747620902313,25.5039021983534,25.9389148575995,25.9009373227993,25.7153686862505,25.6065794870972,26.054070558607,25.4116993167338,25.9023595297165,25.7878342146121
"P17540","P17540","KCRS_HUMAN","CKMT2","Creatine kinase S-type, mitochondrial","ENSG00000131730",25.5991825589576,25.4641876120163,25.3615357460585,26.5779699338494,26.9119316797823,25.4220180260873,24.6753118008806,25.0273718324714,24.2810131624127,25.1484965515847,25.0870964463032,25.4217653491249,25.8906365329666,25.1331623150772,25.1801642395141,24.9869300781927,25.5158870679645,25.514694880107,24.8705318299098,25.670035170163,25.3313905457499,26.5782984430843,26.2963906629969,25.5416652184509,25.983003533737,24.7592552465321,25.5295691781585,25.7267210623187,26.4212051990848,25.8177730726747,25.6338271624988,26.4816617492976,24.8192150532241,25.8310867133244,25.9316658319984
"P60660","P60660","MYL6_HUMAN","MYL6","Myosin light polypeptide 6","ENSG00000092841",24.7531973345256,26.9568252143083,24.9822594852052,24.4142330624515,23.9805223635266,25.0057064448317,25.1402669593912,26.1186729895456,26.5788045543724,24.5542048444102,25.7832123786563,25.9634554819149,25.1642884230948,25.8397344033995,25.1878807954572,25.6248330546431,26.6694594185737,25.1080924857303,26.0725420513848,24.8201365837231,26.045808087252,24.6063571166974,25.0313264536926,25.5633671912137,25.6004975093471,24.6727745956224,25.3619423868947,25.2371626681341,24.7161053723404,25.0338665271529,24.9984441284618,24.8587008760595,24.5012425359432,24.8854666175788,25.0257031015681
"Q93084","Q93084","AT2A3_HUMAN","ATP2A3","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ENSG00000074370",24.4986344177003,24.5302688133992,24.4479490376666,24.6486717704556,23.4764096391939,25.1926981408531,25.2698099659092,25.4671737911089,24.5224060907837,24.8153353931513,25.030620838178,25.2328663465222,24.1403787730561,24.3163034246913,25.5794838616173,25.6310016441862,25.4600017026889,24.8571867070942,24.8414402427192,24.5255934776651,24.6751554033655,24.0601790984124,23.5444122869597,24.6082108267083,24.3153636910632,25.7183477071771,25.2341620997599,24.3392558735975,25.625935137844,24.7459152619409,25.5717515208817,25.3634678660329,26.167978337864,24.9253897934397,25.0647560383594
"P62979","P62979","RS27A_HUMAN","RPS27A","Ubiquitin-40S ribosomal protein S27a","ENSG00000143947",24.5254217074389,25.6795935710557,24.8894691045062,24.9193550586505,24.9263334549375,25.3785399428347,25.1765567789096,25.5836315223362,25.4193292899037,25.420756972452,25.0351410036385,25.1184479325354,25.221853073621,25.9470768799225,25.3782013177641,25.7656901229169,25.9442034220797,25.5065314287471,25.5720406299694,25.8745251641795,24.8433027536091,24.8397326893562,25.0887331754537,24.5365239369148,25.5841258672185,25.2962068146962,25.3715163414285,24.9228523583935,25.5066368836325,25.5567947374687,25.8713084240883,25.6565355856596,25.3672685267519,24.936086050938,24.5880542171
"Q53GG5","Q53GG5","PDLI3_HUMAN","PDLIM3","PDZ and LIM domain protein 3","ENSG00000154553",25.7681377309579,26.2836393119588,25.2351311458236,24.5244028759754,24.3757581024539,25.5529721236152,26.2252054192669,25.618768125335,24.3897185770797,25.8484383880501,25.6743622081238,25.6494287914153,25.4175505934921,25.4432950452376,25.1612554570861,25.6667938780311,25.7236331893534,25.2340783385621,24.8807026234133,25.1670707408043,25.4583544392767,25.049922956126,25.3300673516594,25.9204605920251,24.9654541294472,26.0208514686631,25.9792384899268,25.3281128700187,25.0148734146151,25.9060785844718,26.0072965104618,25.0878296137817,26.1794951814423,25.8112039100839,25.8110118531556
"P30086","P30086","PEBP1_HUMAN","PEBP1","Phosphatidylethanolamine-binding protein 1","ENSG00000089220",25.9329175050601,25.2254127485768,25.5360825827275,25.3850914162102,25.4503615137662,25.7220281324994,26.2078752266412,25.5888393471406,25.5422881591536,25.6987431945504,25.5567857853614,25.4233492793483,25.1810802659693,25.2417861927735,24.8121414133818,25.5661911244878,25.1155669880081,25.0989362238251,25.2117006139848,25.4901053779345,25.3703522065948,25.1719406529299,24.9368310030819,25.6122533119358,25.1497936734089,25.7756335882707,25.3332984624892,25.3327680582705,25.1292408239143,25.4837931451703,25.5852899173693,25.0886604178749,25.836388903928,25.7820170153291,25.0660144023173
"P07951","P07951","TPM2_HUMAN","TPM2","Tropomyosin beta chain","ENSG00000198467",23.7054111440832,28.6778607629404,25.1040689938385,22.9174292635264,22.4633876299525,23.6761028989787,24.3588490221435,26.4962616047627,24.2812551871706,24.0745315832377,26.7838420445494,26.8139634373724,23.7225119052938,24.3548774577097,23.4014740621746,24.6156099706406,27.9462677857597,24.2549206044699,24.1818248746762,23.8710426105166,24.1423351580635,24.3481081747058,24.6416261020423,24.6783364401915,24.3635633284359,25.4057649746159,24.8710932381606,25.5086284808535,23.4107582227208,24.6175978920814,24.2045431142531,23.5967350098941,24.443043923165,24.6240464131603,24.0592392358963
"P00441","P00441","SODC_HUMAN","SOD1","Superoxide dismutase [Cu-Zn]","ENSG00000142168",25.6260925224826,24.8983460573972,25.6184141592211,25.6129618343819,25.4782766943216,25.2193621948391,25.8578221298308,25.4178772267047,26.0980974604367,25.7000616894357,25.5066508435533,25.4919551940014,25.0970214557225,25.9620356600927,25.4198692734764,25.8426968205249,25.2052853416979,25.6352993844693,25.8041903248703,25.502508056623,24.8043885372305,25.144049477407,24.7628243441658,25.2386582117385,25.9249486706669,25.1532170201415,24.529488171497,24.1560536098984,24.6273723664917,24.502259518634,24.8158949947189,24.9213026302491,24.9726012953007,25.4400140330387,24.7971699730643
"P06744","P06744","G6PI_HUMAN","GPI","Glucose-6-phosphate isomerase","ENSG00000105220",25.6045404654346,25.1982110413524,25.2926117017356,25.8065183181564,25.6583709580931,25.5596259421791,25.267084467103,25.0879261560727,25.2918123276708,25.4416113031814,25.3099586857908,25.4782882335512,25.4781750239339,25.138701719931,25.4788283419626,25.4089812612791,25.3548951066901,25.4313904833496,25.951201228095,25.4504228467134,25.7215820040798,25.5752070300279,25.356718744822,25.4361148989896,25.3910941075981,25.5557395626374,25.3347631155583,25.3729856362048,25.7112824918984,25.1641163050542,25.2210349227399,25.6686848871429,25.5095197372712,25.4480664563131,25.3162199178739
"P07437","P07437","TBB5_HUMAN","TUBB","Tubulin beta chain","ENSG00000196230",25.2605134501022,25.1758202321186,25.1137224261921,24.6344374765094,24.9754502150684,25.3286260697344,25.3347723186724,25.357363535486,27.1934912630092,25.0280125814444,25.6247792042592,24.9911560274056,25.4211024540427,25.9043568736838,25.1518171249733,25.2885626395473,25.5533064183171,25.1657149269985,26.0197705591628,24.8964973186856,25.7482265721877,24.878624479657,24.9130008424748,25.1066840197956,25.711956294504,24.985385918215,25.0783975455464,24.9560636643233,24.7495832923986,24.6936926773667,24.9738252540524,24.6338619922798,24.8603923121359,24.9909506125128,24.948187476744
"Q99497","Q99497","PARK7_HUMAN","PARK7","Protein/nucleic acid deglycase DJ-1","ENSG00000116288",25.625112694347,25.2345084008933,25.0814520636523,24.9924920489963,24.6859766871694,25.6882445836997,25.7020270164409,25.1860190036504,25.2105706804533,25.3744731585641,25.3057625677388,25.0856081011936,25.3172328896281,25.6385742086607,25.3613671945707,25.2972498490145,25.0978251355457,25.1929819483975,25.3803563187022,25.2453127877597,25.6613044325449,24.8999592902369,25.0955501660443,25.5886996719434,25.2088795005334,25.8007465027093,25.6028051446999,25.0578660839553,25.2853861100581,25.1997994371569,25.3229097172631,25.1080670299359,25.0868995430822,25.1496402966997,25.2716436232248
"P00505","P00505","AATM_HUMAN","GOT2","Aspartate aminotransferase, mitochondrial","ENSG00000125166",25.25830497543,25.0045506334953,25.4037379732043,26.3946016364033,26.4375318801086,25.3758027183003,24.8577532509011,24.8333027714663,24.4762965545398,25.0268568663342,24.5593802509885,24.9843482072704,25.7386528725259,24.5006385341045,25.1525141869264,24.9472119206417,25.0849409550619,25.4496742550003,25.0785819366439,25.2078868520073,24.9793030895334,25.9522676867125,25.8802925915939,24.9898036420385,25.2593727646268,24.5945849485665,25.2382608549162,25.3087632395804,25.6351766253983,25.2528563153195,25.3342972118507,26.0765455768378,24.7933990589999,25.4065581636034,25.365037406736
"P08590","P08590","MYL3_HUMAN","MYL3","Myosin light chain 3","ENSG00000160808",25.121955122393,27.9366261221939,25.9300507697245,23.4778588660532,22.9935358204044,23.4207005409554,25.3056404816621,26.4081344644719,23.3332714134796,24.4691291687867,25.9135435538119,26.4464211796041,24.4008203215511,24.0013614496143,23.1390049625097,25.342274687579,26.6500969233573,24.5556012032794,22.169140472307,23.7325547270307,24.4698667576319,24.5336402966416,25.5959471723587,25.9613518732071,23.1016869743651,25.6309260048837,25.5583200309671,25.9768595489741,24.7411096394152,25.8424563399284,25.0250339594706,24.5409242083722,25.1448305412732,25.5653849983654,25.5315765802262
