"gene","cv_t1","cv_t2","delta_cv","supplement"
"S100A4",65.9677224619202,96.2961475446112,30.328425082691,"Creatine"
"UQCRC2",56.1360671257938,34.1855685238367,-21.9504986019571,"Creatine"
"TUBA1B",26.6645861861634,71.592336422804,44.9277502366405,"Creatine"
"SLC25A6",41.8852009494436,77.6008223459072,35.7156213964636,"Creatine"
"SLC25A5",36.3836146529286,53.6743527431163,17.2907380901877,"Creatine"
"ANXA5",53.1390058090071,100.412648003228,47.2736421942212,"Creatine"
"H2BC4",46.7148537124679,105.72091246417,59.0060587517022,"Creatine"
"TUBA4A",25.7716694472711,22.3808703582304,-3.39079908904069,"Creatine"
"DCN",51.2521063809948,94.0039028102534,42.7517964292586,"Creatine"
"APOBEC2",27.1632568376797,47.5944685946207,20.4312117569409,"Creatine"
"HSP90AA1",11.7538315701368,35.993206851529,24.2393752813922,"Creatine"
"EEF1A2",21.3660536698986,35.5206265628627,14.1545728929641,"Creatine"
"ATP5MF",45.7187451569337,36.7039570424004,-9.0147881145333,"Creatine"
"TTN",42.9722754514363,131.444325350139,88.472049898703,"Creatine"
"SRL",22.5585845302765,30.9664429817381,8.40785845146162,"Creatine"
"HSPA1A",28.4716588445699,18.2144842342605,-10.2571746103094,"Creatine"
"COX5B",55.9633054825086,40.1915849689805,-15.7717205135281,"Creatine"
"TNNC1",36.7803057923957,120.752070364753,83.9717645723575,"Creatine"
"SELENBP1",57.8831455825877,91.7812692810582,33.8981236984706,"Creatine"
"ECHS1",24.4663659889327,29.9032012755356,5.43683528660293,"Creatine"
"NDUFA4",41.945105037044,63.7653168046903,21.8202117676463,"Creatine"
"ATP5MG",48.5248463912852,44.770565961635,-3.75428042965023,"Creatine"
"PFN1",18.7453212238314,45.3190066649911,26.5736854411597,"Creatine"
"ATP5F1C",61.5181346574493,43.1177816990245,-18.4003529584248,"Creatine"
"ANKRD2",45.0082411035969,62.5933221297616,17.5850810261647,"Creatine"
"UQCRC1",46.1506447798925,43.5931111669146,-2.5575336129779,"Creatine"
"HADH",23.9612584117714,35.703932221167,11.7426738093956,"Creatine"
"PDLIM5",11.8928746754474,61.8184247922145,49.9255501167671,"Creatine"
"YWHAG",26.159089819003,21.63980975161,-4.51928006739294,"Creatine"
"PLIN1",105.100120702964,140.768719664141,35.6685989611778,"Creatine"
"COX7A1",47.1740868207855,28.6453602164802,-18.5287266043052,"Creatine"
"DBI",14.7870811078852,23.4191655927978,8.63208448491256,"Creatine"
"SOD2",45.466249692396,49.0771548930663,3.6109052006703,"Creatine"
"TPM3",52.5676453545239,122.411919782294,69.8442744277703,"Creatine"
"TUBB4B",20.9702254927119,35.451288371891,14.4810628791792,"Creatine"
"TRIM72",20.7344322927672,23.9937768033456,3.25934451057843,"Creatine"
"COX4I1",41.8208499274009,27.7904433106432,-14.0304066167577,"Creatine"
"UGP2",16.165867105925,34.3361457090961,18.170278603171,"Creatine"
"ATP5PO",59.2547033950153,37.3098748930486,-21.9448285019667,"Creatine"
"ANXA1",89.1241734324497,108.501923533965,19.3777501015152,"Creatine"
"LUM",61.659263835024,79.6378362873898,17.9785724523657,"Creatine"
"CASQ2",51.6544901720527,54.9866463956791,3.33215622362645,"Creatine"
"QDPR",15.3830003926699,23.8783258177939,8.49532542512401,"Creatine"
"CMBL",15.3178879785132,39.3287625038371,24.0108745253239,"Creatine"
"MYOM2",22.0143661602715,75.0852722411703,53.0709060808989,"Creatine"
"HBG2",167.99934221904,130.453813544388,-37.5455286746518,"Creatine"
"AHNAK",49.1403796272797,88.5090281880317,39.368648560752,"Creatine"
"GLO1",25.1017264547296,15.4937564965729,-9.60796995815663,"Creatine"
"MIF",31.4493548344965,24.1196269315036,-7.32972790299289,"Creatine"
"VDAC3",30.7848308462493,28.1735808275634,-2.61125001868596,"Creatine"
"GSTP1",29.9308164813914,24.044899528897,-5.88591695249438,"Creatine"
"ECH1",28.407810869111,48.3741220333791,19.9663111642681,"Creatine"
"GSN",52.8494808470808,76.7198187694019,23.8703379223212,"Creatine"
"SLC25A3",53.0073986723726,31.2685561503367,-21.7388425220359,"Creatine"
"ATP5PD",52.0060711603851,55.3135308137806,3.3074596533955,"Creatine"
"ADSS1",16.4222754024218,37.1618761333347,20.7396007309129,"Creatine"
"CAVIN1",59.8237079858057,103.262810775179,43.4391027893734,"Creatine"
"MT-ATP6",47.7498813435533,37.1845800844482,-10.5653012591051,"Creatine"
"TNNI1",42.4418028560253,116.214538060733,73.7727352047077,"Creatine"
"HSPB7",35.9650981165182,36.5284390390232,0.563340922505027,"Creatine"
