gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
HNRNPC,0.4898,0.6852,0.461723,0.992867,NS
NUBPL,-0.4448,0.754,0.461974,0.992867,NS
SEPTIN7,0.4315,0.7755,0.462828,0.992867,NS
VIM,0.7895,0.4204,0.465713,0.992867,NS
CLIP1,-0.3873,0.8551,0.466469,0.992867,NS
PARP1,-0.3553,0.9315,0.466656,0.992867,NS
TAGLN2,0.4915,0.6709,0.46796,0.992867,NS
NIPSNAP3B,-0.4975,0.6585,0.470354,0.992867,NS
TRAPPC3,0.298,1.0992,0.470372,0.992867,NS
B2M,0.5508,0.5927,0.47155,0.992867,NS
HNRNPA0,0.4816,0.6774,0.471817,0.992867,NS
MSN,0.4713,0.6908,0.472513,0.992867,NS
CST3,0.5294,0.6138,0.473228,0.992867,NS
S100A10,0.6086,0.5338,0.473316,0.992867,NS
CACYBP,0.3684,0.8727,0.477008,0.992867,NS
ACAD8,-0.4936,0.6494,0.478068,0.992867,NS
YWHAZ,0.502,0.6375,0.478601,0.992867,NS
AP1B1,0.4424,0.7219,0.479322,0.992867,NS
EIF2B3,-0.3546,0.8999,0.479612,0.992867,NS
RUVBL1,0.4383,0.7215,0.482785,0.992867,NS
LYPLA2,-0.39,0.8104,0.482996,0.992867,NS
TRIM28,0.4335,0.7265,0.484256,0.992867,NS
HNRNPDL,0.3248,0.968,0.484814,0.992867,NS
SHMT2,-0.3485,0.9021,0.484818,0.992867,NS
CAP1,0.4641,0.6774,0.484871,0.992867,NS
ADSS2,-0.5012,0.6272,0.484871,0.992867,NS
RPL27,0.3871,0.8104,0.485608,0.992867,NS
RPS7,-0.4133,0.7579,0.486133,0.992867,NS
PVALB,0.5169,0.6023,0.488278,0.992867,NS
CBR1,0.3468,0.8974,0.488392,0.992867,NS
PHGDH,0.6425,0.4834,0.489137,0.992867,NS
ARF4,0.3943,0.787,0.489464,0.992867,NS
SGCA,-0.408,0.7596,0.489897,0.992867,NS
FKBP5,0.4594,0.672,0.491235,0.992867,NS
MAPK14,-0.4261,0.7204,0.493163,0.992867,NS
AP3B1,0.6022,0.5095,0.493331,0.992867,NS
PRDX4,0.3202,0.958,0.493401,0.992867,NS
RPL32,0.6272,0.488,0.494217,0.992867,NS
TMOD1,0.5272,0.5763,0.496793,0.992867,NS
MTDH,0.3368,0.8996,0.497801,0.992867,NS
RPA2,-0.3723,0.8079,0.500272,0.992867,NS
ATP2A2,-0.4645,0.6465,0.50084,0.992867,NS
DHTKD1,-0.3842,0.7797,0.501695,0.992867,NS
SEPTIN2,0.3499,0.8516,0.503562,0.992867,NS
ILF2,0.3865,0.7693,0.504273,0.992867,NS
ANXA2,0.6187,0.4798,0.504867,0.992867,NS
HDHD5,-0.4586,0.6464,0.505299,0.992867,NS
PRUNE1,-0.3538,0.8333,0.50721,0.992867,NS
RUVBL2,0.407,0.7238,0.507492,0.992867,NS
GLO1,-0.3165,0.9285,0.508348,0.992867,NS
RPL10A,0.3607,0.8145,0.508393,0.992867,NS
FXYD1,-0.4426,0.6635,0.508557,0.992867,NS
AFG3L2,-0.4566,0.6425,0.50887,0.992867,NS
MATR3,0.6482,0.4522,0.509222,0.992867,NS
OXSR1,-0.2943,0.9953,0.509417,0.992867,NS
NEK7,-0.3984,0.7324,0.510727,0.992867,NS
SGCD,-0.3755,0.7728,0.512608,0.992867,NS
CALR,0.3433,0.8448,0.512824,0.992867,NS
ANG,0.4875,0.5945,0.513096,0.992867,NS
RNF7,-0.5105,0.5675,0.513188,0.992867,NS
LACTB2,-0.3533,0.8169,0.514482,0.992867,NS
RWDD1,-0.4014,0.7171,0.515389,0.992867,NS
DGLUCY,-0.4848,0.5937,0.515429,0.992867,NS
HSP90AB1,0.2631,1.0935,0.51553,0.992867,NS
EPM2A,-0.4479,0.6412,0.516146,0.992867,NS
RAB11B,0.3793,0.7572,0.5162,0.992867,NS
CHMP2B,-0.55,0.5207,0.517153,0.992867,NS
HSPH1,0.5356,0.5338,0.517703,0.992867,NS
