contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,H1-0,19.0178891662723,0.357131159059552,0,NS
Training_PLA,PARVA,18.8086394221962,0.642665767314075,0,NS
Training_PLA,LACTB,18.9705685471206,-0.0746659037901836,0,NS
Training_PLA,FSCN1,18.9139755902067,0.745128438389504,0,NS
Training_PLA,JPH1,19.0211923867172,-0.173071395569046,0,NS
Training_PLA,RPS13,19.0934155652236,0.44412884584905,0,NS
Training_PLA,RPL31,18.9186983091956,0.393169000942496,0,NS
Training_PLA,TGFBI,18.6037318042898,0.475289073310627,0,NS
Training_PLA,NSF,19.1150649591255,-0.117240560390744,0,NS
Training_PLA,PRMT5,19.0772046695868,-0.198690564170928,0,NS
Training_PLA,TOM1,19.0236031369453,-0.0902351201312932,0,NS
Training_PLA,SELENOW,19.0609299127249,-0.182723672157788,0,NS
Training_PLA,COPS5,19.1137871025928,0.054262636228561,0,NS
Training_PLA,DAG1,19.0467903569512,-0.594970670168152,0,NS
Training_PLA,SRP9,19.0264747742743,-0.444787388122567,0,NS
Training_PLA,PREB,19.0688002793275,0.155196592829711,0,NS
Training_PLA,DCTN2,18.9570954363863,-0.176809655924238,0,NS
Training_PLA,PSMD4,19.0436810475445,0.0100818872951542,0,NS
Training_PLA,LONP1,19.1116351238009,-0.0042197986327217,0,NS
Training_PLA,FUS,19.0619305072533,0.00584595829240797,0,NS
Training_PLA,CNN3,18.2579411935436,0.498058315658934,0,NS
Training_PLA,COBL,18.87943108826,-0.307099908643025,0,NS
Training_PLA,RTCB,19.1160110138075,0.118182109683779,0,NS
Training_PLA,SEPTIN9,18.6410594307154,0.375324861356546,0,NS
Training_PLA,RPL38,18.9435897511525,-0.28199320270436,0,NS
Training_PLA,EIF2S1,19.0792315856336,-0.0457910878761965,0,NS
Training_PLA,SLC25A20,19.0587323604061,0.351893812329767,0,NS
Training_PLA,ARHGAP1,18.9555495830727,0.142285621885424,0,NS
Training_PLA,COPS7A,19.0006612754237,0.0613696758537401,0,NS
Training_PLA,ELOC,19.0941266321071,-0.176962390116451,0,NS
Training_PLA,DBT,18.7478041256616,-0.0471193268688488,0,NS
Training_PLA,BDH1,18.7365945745279,-0.0442081570524095,0,NS
Training_PLA,PAFAH1B1,19.0614544259306,-0.17540518115587,0,NS
Training_PLA,NEK7,19.0183014698091,-0.41924369240229,0,NS
Training_PLA,MRPS36,18.9079533542019,-0.557754739762323,0,NS
Training_PLA,ERI3,18.9741728331901,-0.127680125733651,0,NS
Training_PLA,UBE2M,18.9593350095365,-0.0410372977814291,0,NS
Training_PLA,RPL8,18.7159879429057,-0.483070998596656,0,NS
Training_PLA,NDUFS4,18.9156805945497,0.267469530006402,0,NS
Training_PLA,RPS17,18.9052669696642,-0.0623454478107561,0,NS
Training_PLA,RAP2B,18.7130957107358,-0.0766441702432168,0,NS
Training_PLA,TMED10,18.8229099611452,-0.0115909131980452,0,NS
